Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7
Diabetes,weight loss,fatigue,frequent urination,excessive thirst,numbness in feet,slow healing wounds,
Asthma,fatigue,shortness of breath,wheezing,coughing,chest tightness,,
Appendicitis,nausea,fever,bloating,severe abdominal pain,loss of appetite,,
Anemia,shortness of breath,pale skin,cold hands,weakness,,,
Hypertension,blurred vision,fatigue,dizziness,headache,chest pain,nosebleed,shortness of breath
Asthma,shortness of breath,wheezing,fatigue,,,,
Asthma,fatigue,wheezing,chest tightness,,,,
Gastroenteritis,loss of appetite,stomach cramps,fatigue,,,,
Typhoid,weakness,constipation,headache,high fever,loss of appetite,,
Appendicitis,vomiting,nausea,fever,bloating,loss of appetite,,
Hepatitis B,vomiting,nausea,jaundice,joint pain,fatigue,dark urine,abdominal pain
COVID-19,cough,fever,body aches,fatigue,loss of smell,loss of taste,headache
Gastroenteritis,diarrhea,loss of appetite,vomiting,fever,nausea,stomach cramps,
Chicken Pox,fever,loss of appetite,rash,headache,itchiness,,
Arthritis,stiffness,joint pain,fatigue,warmth in joints,reduced range of motion,swelling,
Dengue Fever,severe headache,muscle pain,fatigue,joint pain,rash,vomiting,
Measles,sensitivity to light,fatigue,fever,red eyes,cough,rash,
Gastroenteritis,diarrhea,fatigue,nausea,,,,
Pneumonia,rapid breathing,fever,cough,chest pain,shortness of breath,fatigue,
Asthma,fatigue,chest tightness,wheezing,coughing,shortness of breath,,
Urinary Tract Infection,cloudy urine,burning urination,pelvic pain,,,,
Typhoid,constipation,rash,stomach pain,high fever,diarrhea,loss of appetite,
Arthritis,fatigue,warmth in joints,stiffness,swelling,joint pain,reduced range of motion,
Diabetes,frequent urination,weight loss,excessive thirst,slow healing wounds,,,
Typhoid,weakness,rash,stomach pain,high fever,headache,diarrhea,
Dengue Fever,severe headache,vomiting,fatigue,rash,,,
Influenza,cough,chills,headache,runny nose,sore throat,,
Asthma,chest tightness,shortness of breath,fatigue,wheezing,,,
Migraine,sensitivity to sound,sensitivity to light,severe headache,fatigue,nausea,vomiting,blurred vision
Hepatitis B,joint pain,jaundice,vomiting,,,,
Anemia,pale skin,chest pain,weakness,cold hands,,,
Hypertension,chest pain,blurred vision,dizziness,shortness of breath,,,
Malaria,sweating,nausea,fever,fatigue,vomiting,chills,muscle pain
Typhoid,diarrhea,headache,loss of appetite,high fever,weakness,,
Anemia,shortness of breath,cold hands,dizziness,,,,
Hepatitis B,vomiting,dark urine,joint pain,abdominal pain,jaundice,,
Dengue Fever,fatigue,nausea,muscle pain,vomiting,,,
Asthma,fatigue,shortness of breath,wheezing,chest tightness,coughing,,
Influenza,fever,sore throat,chills,fatigue,runny nose,body aches,cough
Asthma,chest tightness,fatigue,shortness of breath,,,,
Appendicitis,fever,nausea,bloating,loss of appetite,severe abdominal pain,vomiting,
Urinary Tract Infection,burning urination,pelvic pain,cloudy urine,chills,fever,frequent urination,
Hypertension,fatigue,headache,chest pain,shortness of breath,dizziness,,
COVID-19,cough,body aches,shortness of breath,fever,loss of taste,loss of smell,
Diabetes,numbness in feet,weight loss,excessive thirst,,,,
Appendicitis,loss of appetite,bloating,nausea,fever,vomiting,,
Measles,sensitivity to light,fatigue,cough,,,,
Anemia,cold hands,fatigue,dizziness,chest pain,shortness of breath,,
Urinary Tract Infection,pelvic pain,fever,frequent urination,cloudy urine,,,
Hepatitis B,jaundice,vomiting,joint pain,fatigue,abdominal pain,dark urine,
Chicken Pox,headache,blisters,loss of appetite,fatigue,rash,fever,itchiness
COVID-19,fatigue,body aches,fever,,,,
Common Cold,runny nose,fatigue,sore throat,sneezing,cough,,
Malaria,fever,fatigue,headache,muscle pain,sweating,chills,
Dengue Fever,muscle pain,severe headache,fatigue,joint pain,vomiting,,
Appendicitis,vomiting,loss of appetite,severe abdominal pain,,,,
Gastroenteritis,fever,loss of appetite,vomiting,nausea,fatigue,,
Pneumonia,rapid breathing,fatigue,chills,shortness of breath,fever,cough,
Chicken Pox,loss of appetite,blisters,itchiness,,,,
Hepatitis B,vomiting,joint pain,abdominal pain,,,,
Typhoid,rash,stomach pain,weakness,headache,,,
Pneumonia,chest pain,rapid breathing,shortness of breath,fever,fatigue,cough,
Chicken Pox,loss of appetite,rash,fever,,,,
Common Cold,fatigue,congestion,cough,runny nose,mild fever,,
Gastroenteritis,nausea,diarrhea,fever,stomach cramps,fatigue,,
COVID-19,loss of taste,shortness of breath,fatigue,headache,fever,cough,
Arthritis,stiffness,reduced range of motion,warmth in joints,,,,
Influenza,fever,fatigue,headache,,,,
Asthma,shortness of breath,coughing,chest tightness,fatigue,,,
Migraine,nausea,blurred vision,vomiting,sensitivity to sound,,,
Hepatitis B,fatigue,joint pain,nausea,,,,
Common Cold,runny nose,fatigue,sore throat,cough,mild fever,sneezing,congestion
Diabetes,excessive thirst,numbness in feet,fatigue,weight loss,frequent urination,blurred vision,slow healing wounds
Arthritis,fatigue,swelling,joint pain,stiffness,warmth in joints,reduced range of motion,
Hepatitis B,vomiting,nausea,joint pain,abdominal pain,dark urine,jaundice,
Arthritis,warmth in joints,joint pain,fatigue,swelling,,,
Pneumonia,chills,chest pain,shortness of breath,fatigue,rapid breathing,,
Measles,fatigue,sensitivity to light,red eyes,,,,
Migraine,sensitivity to sound,severe headache,nausea,fatigue,sensitivity to light,,
Dengue Fever,vomiting,muscle pain,nausea,joint pain,rash,,
Migraine,sensitivity to light,fatigue,vomiting,nausea,sensitivity to sound,blurred vision,
Common Cold,cough,runny nose,congestion,mild fever,sore throat,fatigue,sneezing
Measles,red eyes,rash,fever,cough,fatigue,sensitivity to light,
Migraine,blurred vision,sensitivity to light,fatigue,nausea,,,
Influenza,body aches,fatigue,sore throat,chills,headache,runny nose,
Migraine,nausea,sensitivity to light,vomiting,severe headache,,,
Typhoid,weakness,stomach pain,high fever,headache,loss of appetite,diarrhea,rash
Anemia,cold hands,dizziness,shortness of breath,chest pain,fatigue,pale skin,
Measles,runny nose,sensitivity to light,rash,,,,
Malaria,chills,headache,vomiting,,,,
Anemia,pale skin,dizziness,chest pain,weakness,fatigue,shortness of breath,cold hands
Chicken Pox,loss of appetite,fever,headache,blisters,fatigue,itchiness,rash
Chicken Pox,loss of appetite,headache,itchiness,fatigue,,,
Influenza,headache,chills,sore throat,cough,,,
Diabetes,fatigue,excessive thirst,weight loss,blurred vision,frequent urination,,
Influenza,headache,sore throat,fever,body aches,chills,,
Hepatitis B,vomiting,fatigue,jaundice,nausea,dark urine,abdominal pain,joint pain
Appendicitis,vomiting,fever,bloating,nausea,loss of appetite,,
Gastroenteritis,diarrhea,stomach cramps,fatigue,vomiting,,,
Migraine,fatigue,sensitivity to light,nausea,blurred vision,severe headache,sensitivity to sound,
Malaria,fever,nausea,fatigue,headache,muscle pain,vomiting,
Measles,cough,fatigue,runny nose,,,,
Tuberculosis,night sweats,weight loss,coughing up blood,fever,persistent cough,,
Diabetes,excessive thirst,fatigue,blurred vision,,,,
Arthritis,reduced range of motion,fatigue,warmth in joints,stiffness,joint pain,,
Influenza,body aches,cough,headache,fever,,,
Anemia,dizziness,weakness,cold hands,shortness of breath,pale skin,chest pain,fatigue
Dengue Fever,nausea,severe headache,high fever,joint pain,vomiting,,
Influenza,cough,sore throat,runny nose,fatigue,,,
Hypertension,fatigue,headache,nosebleed,shortness of breath,dizziness,chest pain,
Malaria,chills,sweating,headache,fatigue,fever,muscle pain,nausea
Diabetes,fatigue,slow healing wounds,frequent urination,weight loss,blurred vision,,
Asthma,coughing,fatigue,shortness of breath,,,,
Diabetes,weight loss,blurred vision,numbness in feet,fatigue,,,
Anemia,pale skin,dizziness,cold hands,fatigue,chest pain,,
Gastroenteritis,stomach cramps,loss of appetite,nausea,vomiting,,,
Diabetes,excessive thirst,numbness in feet,blurred vision,weight loss,,,
Gastroenteritis,fever,nausea,diarrhea,stomach cramps,loss of appetite,,
Anemia,chest pain,dizziness,pale skin,weakness,shortness of breath,cold hands,fatigue
Urinary Tract Infection,pelvic pain,fever,frequent urination,cloudy urine,chills,burning urination,
Chicken Pox,loss of appetite,fever,headache,fatigue,,,
Measles,cough,rash,sensitivity to light,,,,
Anemia,dizziness,weakness,cold hands,fatigue,chest pain,shortness of breath,pale skin
Tuberculosis,night sweats,persistent cough,fatigue,fever,coughing up blood,,
Measles,fatigue,fever,runny nose,,,,
Urinary Tract Infection,pelvic pain,burning urination,fever,frequent urination,,,
Diabetes,numbness in feet,frequent urination,weight loss,excessive thirst,,,
COVID-19,body aches,headache,cough,loss of taste,shortness of breath,,
Migraine,severe headache,nausea,vomiting,,,,
Migraine,nausea,fatigue,severe headache,sensitivity to sound,blurred vision,sensitivity to light,vomiting
Hypertension,blurred vision,fatigue,chest pain,shortness of breath,headache,nosebleed,dizziness
Hypertension,chest pain,shortness of breath,dizziness,nosebleed,headache,blurred vision,
Arthritis,fatigue,joint pain,reduced range of motion,,,,
Measles,runny nose,fatigue,fever,red eyes,sensitivity to light,rash,cough
Influenza,cough,body aches,fatigue,chills,sore throat,headache,runny nose
Urinary Tract Infection,chills,frequent urination,pelvic pain,,,,
Urinary Tract Infection,burning urination,cloudy urine,frequent urination,,,,
Migraine,sensitivity to light,blurred vision,severe headache,nausea,sensitivity to sound,,
Asthma,shortness of breath,coughing,fatigue,wheezing,chest tightness,,
Hypertension,dizziness,blurred vision,shortness of breath,,,,
Hypertension,dizziness,blurred vision,headache,chest pain,,,
Influenza,fever,headache,cough,sore throat,,,
Common Cold,cough,fatigue,runny nose,,,,
Typhoid,weakness,rash,stomach pain,constipation,,,
Diabetes,frequent urination,blurred vision,numbness in feet,fatigue,,,
Hepatitis B,dark urine,jaundice,abdominal pain,joint pain,vomiting,fatigue,
Diabetes,excessive thirst,frequent urination,fatigue,numbness in feet,weight loss,blurred vision,slow healing wounds
Pneumonia,fever,rapid breathing,cough,,,,
Typhoid,diarrhea,headache,weakness,loss of appetite,rash,stomach pain,
Migraine,blurred vision,fatigue,sensitivity to light,nausea,sensitivity to sound,vomiting,
Migraine,sensitivity to sound,vomiting,sensitivity to light,nausea,fatigue,blurred vision,
Pneumonia,chest pain,chills,fever,fatigue,rapid breathing,,
COVID-19,headache,fatigue,body aches,fever,,,
Urinary Tract Infection,burning urination,cloudy urine,pelvic pain,fever,,,
Chicken Pox,itchiness,loss of appetite,blisters,fever,,,
Migraine,sensitivity to light,sensitivity to sound,vomiting,blurred vision,,,
Arthritis,stiffness,reduced range of motion,fatigue,warmth in joints,swelling,,
Malaria,chills,vomiting,headache,sweating,fatigue,nausea,muscle pain
Measles,fatigue,fever,red eyes,,,,
Influenza,chills,headache,fatigue,fever,sore throat,body aches,
Influenza,fatigue,chills,body aches,headache,sore throat,,
Gastroenteritis,fatigue,diarrhea,stomach cramps,fever,loss of appetite,,
Measles,cough,rash,red eyes,fever,fatigue,runny nose,
Asthma,chest tightness,fatigue,wheezing,coughing,,,
Migraine,vomiting,fatigue,nausea,blurred vision,sensitivity to sound,severe headache,
Urinary Tract Infection,burning urination,chills,cloudy urine,fever,frequent urination,,
Tuberculosis,persistent cough,weight loss,coughing up blood,,,,
Malaria,muscle pain,nausea,vomiting,,,,
COVID-19,cough,shortness of breath,headache,fatigue,,,
Tuberculosis,coughing up blood,night sweats,fever,weight loss,chest pain,persistent cough,
Asthma,wheezing,fatigue,shortness of breath,chest tightness,,,
Malaria,chills,fever,nausea,,,,
Chicken Pox,rash,fever,itchiness,,,,
Hepatitis B,fatigue,jaundice,vomiting,,,,
Anemia,pale skin,cold hands,chest pain,shortness of breath,,,
Common Cold,mild fever,cough,sore throat,congestion,sneezing,fatigue,runny nose
Influenza,body aches,fatigue,chills,runny nose,cough,sore throat,fever
Hepatitis B,abdominal pain,nausea,fatigue,joint pain,vomiting,jaundice,
Asthma,fatigue,coughing,shortness of breath,chest tightness,,,
Chicken Pox,rash,loss of appetite,headache,blisters,itchiness,,
Appendicitis,nausea,fever,bloating,severe abdominal pain,,,
Hepatitis B,dark urine,fatigue,jaundice,nausea,abdominal pain,,
Anemia,dizziness,pale skin,chest pain,cold hands,,,
Migraine,sensitivity to sound,sensitivity to light,blurred vision,severe headache,nausea,fatigue,
Chicken Pox,itchiness,loss of appetite,blisters,fatigue,,,
Tuberculosis,weight loss,fatigue,fever,persistent cough,,,
Measles,fatigue,red eyes,sensitivity to light,runny nose,rash,,
Hypertension,dizziness,blurred vision,headache,fatigue,nosebleed,shortness of breath,
Migraine,severe headache,fatigue,nausea,vomiting,sensitivity to light,sensitivity to sound,blurred vision
Measles,runny nose,fatigue,fever,red eyes,sensitivity to light,cough,
Influenza,headache,fatigue,sore throat,runny nose,,,
Anemia,pale skin,weakness,chest pain,shortness of breath,dizziness,fatigue,
Dengue Fever,severe headache,fatigue,high fever,,,,
Typhoid,rash,constipation,high fever,,,,
Gastroenteritis,fatigue,nausea,stomach cramps,vomiting,loss of appetite,,
Tuberculosis,coughing up blood,weight loss,fever,persistent cough,night sweats,chest pain,
Appendicitis,bloating,loss of appetite,nausea,,,,
Hepatitis B,joint pain,abdominal pain,nausea,fatigue,dark urine,jaundice,
Hepatitis B,vomiting,fatigue,dark urine,joint pain,,,
Measles,runny nose,rash,red eyes,sensitivity to light,fatigue,,
Hepatitis B,fatigue,dark urine,abdominal pain,jaundice,,,
Hypertension,dizziness,headache,chest pain,fatigue,nosebleed,blurred vision,shortness of breath
Migraine,sensitivity to sound,blurred vision,severe headache,sensitivity to light,,,
Hypertension,chest pain,headache,nosebleed,shortness of breath,,,
Gastroenteritis,stomach cramps,vomiting,diarrhea,nausea,loss of appetite,fever,fatigue
Asthma,fatigue,shortness of breath,coughing,wheezing,chest tightness,,
Gastroenteritis,loss of appetite,vomiting,stomach cramps,diarrhea,fever,nausea,fatigue
Appendicitis,nausea,fever,bloating,severe abdominal pain,,,
Urinary Tract Infection,pelvic pain,burning urination,frequent urination,,,,
Appendicitis,severe abdominal pain,vomiting,nausea,fever,,,
Malaria,headache,fatigue,vomiting,chills,sweating,fever,muscle pain
Anemia,cold hands,chest pain,weakness,,,,
Chicken Pox,fever,fatigue,headache,itchiness,loss of appetite,rash,blisters
Measles,fever,sensitivity to light,rash,red eyes,cough,runny nose,
Gastroenteritis,fatigue,stomach cramps,nausea,fever,loss of appetite,vomiting,
Influenza,body aches,fatigue,chills,headache,sore throat,cough,
Measles,rash,runny nose,cough,,,,
Pneumonia,rapid breathing,fatigue,chest pain,cough,shortness of breath,,
Diabetes,numbness in feet,excessive thirst,fatigue,frequent urination,blurred vision,weight loss,
Tuberculosis,fatigue,persistent cough,fever,night sweats,weight loss,coughing up blood,chest pain
Diabetes,frequent urination,fatigue,excessive thirst,numbness in feet,blurred vision,slow healing wounds,weight loss
Urinary Tract Infection,pelvic pain,burning urination,cloudy urine,,,,
Tuberculosis,weight loss,night sweats,fever,chest pain,,,
Asthma,fatigue,coughing,wheezing,,,,
Hepatitis B,fatigue,joint pain,vomiting,dark urine,,,
Anemia,dizziness,fatigue,cold hands,shortness of breath,pale skin,weakness,chest pain
Gastroenteritis,fever,vomiting,stomach cramps,diarrhea,nausea,,
Pneumonia,shortness of breath,fatigue,chills,,,,
COVID-19,loss of taste,cough,loss of smell,body aches,fatigue,shortness of breath,headache
Gastroenteritis,diarrhea,vomiting,fatigue,nausea,stomach cramps,fever,
Appendicitis,nausea,vomiting,loss of appetite,severe abdominal pain,bloating,,
Influenza,sore throat,chills,fatigue,fever,runny nose,headache,cough
Anemia,shortness of breath,chest pain,fatigue,pale skin,,,
Common Cold,cough,fatigue,sneezing,runny nose,mild fever,congestion,
Hepatitis B,fatigue,nausea,dark urine,vomiting,,,
Measles,rash,fever,runny nose,sensitivity to light,red eyes,fatigue,cough
Migraine,vomiting,blurred vision,fatigue,sensitivity to light,severe headache,sensitivity to sound,nausea
Hepatitis B,jaundice,joint pain,fatigue,dark urine,vomiting,nausea,abdominal pain
Common Cold,runny nose,sneezing,congestion,cough,fatigue,sore throat,
Asthma,shortness of breath,chest tightness,wheezing,coughing,,,
Tuberculosis,weight loss,night sweats,persistent cough,fever,coughing up blood,fatigue,
Malaria,muscle pain,sweating,fever,fatigue,nausea,vomiting,
Hepatitis B,nausea,joint pain,jaundice,fatigue,abdominal pain,vomiting,dark urine
Migraine,blurred vision,fatigue,vomiting,nausea,,,
Common Cold,runny nose,sore throat,cough,congestion,,,
Dengue Fever,muscle pain,high fever,severe headache,,,,
Dengue Fever,rash,muscle pain,vomiting,high fever,nausea,,
Pneumonia,rapid breathing,fever,fatigue,chills,cough,chest pain,
Hypertension,blurred vision,nosebleed,fatigue,,,,
Typhoid,loss of appetite,headache,weakness,,,,
Dengue Fever,high fever,severe headache,vomiting,nausea,rash,fatigue,
Hepatitis B,jaundice,vomiting,fatigue,nausea,dark urine,abdominal pain,joint pain
COVID-19,loss of taste,headache,shortness of breath,fever,fatigue,,
Asthma,wheezing,coughing,shortness of breath,fatigue,,,
Appendicitis,severe abdominal pain,loss of appetite,nausea,vomiting,,,
Dengue Fever,vomiting,nausea,joint pain,rash,muscle pain,,
Tuberculosis,chest pain,fatigue,coughing up blood,persistent cough,,,
Dengue Fever,high fever,fatigue,muscle pain,,,,
Appendicitis,fever,severe abdominal pain,loss of appetite,,,,
Appendicitis,bloating,severe abdominal pain,loss of appetite,nausea,,,
Measles,fatigue,red eyes,fever,sensitivity to light,rash,cough,runny nose
Migraine,sensitivity to sound,severe headache,blurred vision,vomiting,,,
Diabetes,blurred vision,numbness in feet,weight loss,frequent urination,fatigue,slow healing wounds,excessive thirst
Influenza,fatigue,fever,sore throat,cough,runny nose,,
Chicken Pox,headache,itchiness,fever,rash,fatigue,,
Hepatitis B,fatigue,joint pain,jaundice,dark urine,,,
Measles,sensitivity to light,fever,red eyes,cough,fatigue,rash,
Urinary Tract Infection,pelvic pain,frequent urination,chills,cloudy urine,,,
Migraine,fatigue,vomiting,severe headache,nausea,,,
Appendicitis,fever,severe abdominal pain,vomiting,loss of appetite,nausea,,
Gastroenteritis,vomiting,diarrhea,stomach cramps,loss of appetite,,,
Diabetes,slow healing wounds,fatigue,numbness in feet,weight loss,excessive thirst,blurred vision,frequent urination
Diabetes,fatigue,numbness in feet,excessive thirst,slow healing wounds,weight loss,,
Hepatitis B,fatigue,abdominal pain,nausea,vomiting,,,
Anemia,shortness of breath,weakness,pale skin,fatigue,dizziness,,
Diabetes,weight loss,slow healing wounds,blurred vision,numbness in feet,excessive thirst,,
Typhoid,loss of appetite,rash,constipation,weakness,,,
Appendicitis,vomiting,severe abdominal pain,fever,loss of appetite,bloating,,
Diabetes,fatigue,excessive thirst,slow healing wounds,weight loss,blurred vision,numbness in feet,
Appendicitis,vomiting,bloating,severe abdominal pain,nausea,loss of appetite,fever,
Urinary Tract Infection,chills,cloudy urine,fever,pelvic pain,frequent urination,,
Chicken Pox,itchiness,blisters,headache,,,,
Diabetes,blurred vision,numbness in feet,frequent urination,,,,
Common Cold,sneezing,congestion,sore throat,runny nose,mild fever,fatigue,cough
Chicken Pox,itchiness,headache,loss of appetite,fatigue,,,
Hypertension,shortness of breath,blurred vision,fatigue,headache,chest pain,,
Malaria,nausea,muscle pain,fever,sweating,headache,vomiting,chills
Common Cold,mild fever,sneezing,runny nose,sore throat,congestion,,
Diabetes,excessive thirst,numbness in feet,slow healing wounds,blurred vision,,,
Gastroenteritis,loss of appetite,nausea,diarrhea,vomiting,fever,stomach cramps,fatigue
Asthma,shortness of breath,wheezing,coughing,fatigue,,,
Malaria,fatigue,vomiting,fever,,,,
Hepatitis B,vomiting,dark urine,fatigue,,,,
Arthritis,stiffness,fatigue,swelling,,,,
Asthma,chest tightness,wheezing,fatigue,,,,
Typhoid,diarrhea,weakness,headache,high fever,loss of appetite,rash,stomach pain
Arthritis,reduced range of motion,stiffness,fatigue,joint pain,swelling,,
Hepatitis B,nausea,joint pain,dark urine,,,,
Pneumonia,rapid breathing,chest pain,chills,fatigue,shortness of breath,,
Arthritis,reduced range of motion,swelling,joint pain,,,,
Hepatitis B,fatigue,vomiting,jaundice,dark urine,nausea,abdominal pain,joint pain
Hepatitis B,jaundice,fatigue,abdominal pain,nausea,dark urine,,
Tuberculosis,weight loss,fatigue,coughing up blood,chest pain,,,
Gastroenteritis,nausea,stomach cramps,fatigue,diarrhea,vomiting,loss of appetite,fever
Tuberculosis,coughing up blood,night sweats,persistent cough,,,,
Pneumonia,chills,chest pain,cough,rapid breathing,fatigue,fever,shortness of breath
Hypertension,shortness of breath,dizziness,chest pain,nosebleed,,,
Anemia,dizziness,weakness,chest pain,pale skin,,,
Arthritis,swelling,fatigue,stiffness,warmth in joints,reduced range of motion,joint pain,
Migraine,nausea,vomiting,fatigue,severe headache,,,
Malaria,nausea,sweating,chills,fatigue,fever,,
Typhoid,constipation,high fever,stomach pain,loss of appetite,rash,diarrhea,
Malaria,nausea,sweating,vomiting,,,,
Common Cold,cough,mild fever,congestion,,,,
COVID-19,loss of smell,loss of taste,fatigue,headache,cough,shortness of breath,body aches
Hypertension,dizziness,blurred vision,fatigue,nosebleed,chest pain,,
Migraine,vomiting,severe headache,sensitivity to sound,fatigue,nausea,blurred vision,
Urinary Tract Infection,pelvic pain,burning urination,cloudy urine,fever,,,
Anemia,pale skin,dizziness,weakness,cold hands,chest pain,fatigue,
Dengue Fever,muscle pain,joint pain,fatigue,high fever,,,
Anemia,pale skin,weakness,shortness of breath,chest pain,cold hands,,
Appendicitis,fever,nausea,severe abdominal pain,bloating,loss of appetite,,
Chicken Pox,blisters,headache,loss of appetite,fever,rash,fatigue,
Anemia,chest pain,cold hands,shortness of breath,pale skin,weakness,,
Appendicitis,severe abdominal pain,nausea,fever,,,,
Dengue Fever,severe headache,fatigue,vomiting,high fever,nausea,muscle pain,
Typhoid,diarrhea,high fever,rash,,,,
COVID-19,loss of smell,fatigue,headache,body aches,shortness of breath,cough,
Arthritis,swelling,reduced range of motion,fatigue,stiffness,,,
Hepatitis B,joint pain,vomiting,abdominal pain,fatigue,,,
Anemia,cold hands,chest pain,shortness of breath,,,,
Hepatitis B,vomiting,joint pain,nausea,fatigue,jaundice,,
Asthma,chest tightness,wheezing,coughing,shortness of breath,fatigue,,
Pneumonia,chest pain,fatigue,fever,cough,shortness of breath,rapid breathing,chills
Appendicitis,nausea,severe abdominal pain,bloating,vomiting,,,
Hepatitis B,fatigue,joint pain,abdominal pain,jaundice,dark urine,vomiting,nausea
Pneumonia,chills,fever,cough,shortness of breath,rapid breathing,,
Hepatitis B,jaundice,vomiting,nausea,joint pain,,,
Appendicitis,nausea,vomiting,loss of appetite,bloating,severe abdominal pain,,
Migraine,nausea,severe headache,vomiting,sensitivity to sound,blurred vision,fatigue,
Gastroenteritis,nausea,stomach cramps,loss of appetite,fatigue,,,
Gastroenteritis,nausea,diarrhea,stomach cramps,loss of appetite,,,
Pneumonia,shortness of breath,cough,fever,rapid breathing,chills,,
COVID-19,body aches,loss of taste,fatigue,fever,shortness of breath,loss of smell,
Urinary Tract Infection,burning urination,cloudy urine,pelvic pain,frequent urination,,,
Asthma,chest tightness,wheezing,fatigue,shortness of breath,,,
Gastroenteritis,loss of appetite,nausea,fatigue,fever,diarrhea,,
Appendicitis,fever,vomiting,nausea,loss of appetite,bloating,severe abdominal pain,
Malaria,fever,sweating,fatigue,headache,,,
Influenza,fatigue,cough,sore throat,fever,body aches,runny nose,headache
Malaria,chills,fatigue,headache,fever,sweating,vomiting,nausea
Chicken Pox,fatigue,fever,rash,loss of appetite,blisters,headache,
Migraine,sensitivity to light,blurred vision,nausea,vomiting,fatigue,severe headache,sensitivity to sound
Urinary Tract Infection,frequent urination,cloudy urine,chills,pelvic pain,fever,burning urination,
Pneumonia,chills,shortness of breath,cough,,,,
Influenza,fatigue,fever,sore throat,cough,,,
Tuberculosis,night sweats,persistent cough,chest pain,,,,
Pneumonia,cough,rapid breathing,fatigue,fever,shortness of breath,chest pain,chills
Hepatitis B,jaundice,joint pain,fatigue,vomiting,nausea,abdominal pain,
Asthma,chest tightness,shortness of breath,wheezing,fatigue,coughing,,
Measles,fatigue,runny nose,sensitivity to light,fever,,,
Anemia,cold hands,fatigue,pale skin,chest pain,shortness of breath,weakness,
Dengue Fever,muscle pain,high fever,joint pain,fatigue,severe headache,nausea,
Pneumonia,fatigue,chest pain,cough,shortness of breath,chills,fever,
Gastroenteritis,fatigue,nausea,fever,vomiting,diarrhea,stomach cramps,
Pneumonia,cough,fatigue,shortness of breath,chills,,,
Asthma,shortness of breath,wheezing,fatigue,coughing,,,
Tuberculosis,weight loss,coughing up blood,chest pain,night sweats,fatigue,persistent cough,fever
Asthma,wheezing,shortness of breath,fatigue,coughing,chest tightness,,
